title,platforms,rating,votes,developer,release_date,price,genres,url
Street Fighter™ 6,"['PS4', 'PS5']",4.43,10282,"Capcom U.S.A., Inc.",2023-06-02,59.99,['Fighting'],https://store.playstation.com/en-us/concept/10001615
The Last of Us™ Part I,['PS5'],4.92,16050,Sony Interactive Entertainment,2022-09-02,39.89,['Action'],https://store.playstation.com/en-us/concept/10002694
NBA 2K23 for PS5™,"['PS4', 'PS5']",4.02,22791,2K,2022-09-09,69.99,['Sport'],https://store.playstation.com/en-us/concept/10004836
FINAL FANTASY XIV Online - Starter Edition,"['PS4', 'PS5']",4.5,42236,SQUARE ENIX CO. LTD.,2021-04-27,19.99,"['Role Playing Games', 'Role Playing Games']",https://store.playstation.com/en-us/concept/201579
ARK: Survival Ascended,['PS5'],4.01,9466,WILDCARD PROPERTIES,2023-11-30,35.99,"['Adventure', 'Role Playing Games']",https://store.playstation.com/en-us/concept/10008286
Persona 3 Reload PS4 & PS5,"['PS4', 'PS5']",4.9,6732,"SEGA of America, Inc.",2024-02-02,48.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/10001555
Need for Speed™ Unbound Palace Edition,['PS5'],2.95,12510,Electronic Arts Inc,2022-12-02,19.99,['Driving/Racing'],https://store.playstation.com/en-us/concept/10001269
TopSpin 2K25 Cross-Gen Digital Edition,"['PS4', 'PS5']",3.28,1347,2K,2024-04-26,55.99,['Sport'],https://store.playstation.com/en-us/concept/10004708
Farming Simulator 22 PS4 & PS5,"['PS4', 'PS5']",4.24,20118,GIANTS Software,2021-11-22,39.99,"['Simulation', 'Simulator']",https://store.playstation.com/en-us/concept/10001771
Assassin's Creed® Mirage,"['PS4', 'PS5']",4.0,19006,Ubisoft Entertainment,2023-10-05,49.99,"['Action', 'Adventure']",https://store.playstation.com/en-us/concept/10004865
The Texas Chain Saw Massacre,"['PS4', 'PS5']",4.38,5632,"GUN MEDIA HOLDINGS, INC",2023-08-18,15.99,['Horror'],https://store.playstation.com/en-us/concept/10002719
It Takes Two PS4™ & PS5™,"['PS4', 'PS5']",4.42,69688,Electronic Arts Inc,2021-03-26,11.99,['Unique'],https://store.playstation.com/en-us/concept/234689
Brawlhalla,['PS4'],4.05,264514,Blue Mammoth Games,2017-10-17,0.0,"['Fighting', 'Action', 'Casual']",https://store.playstation.com/en-us/concept/216932
Guilty Gear -Strive-,"['PS4', 'PS5']",4.59,4973,ARC SYSTEM WORKS,2021-06-11,19.99,['Fighting'],https://store.playstation.com/en-us/concept/10000453
HITMAN World of Assassination,"['PS4', 'PS5']",4.36,28635,IO Interactive A/S,2023-01-26,27.99,['Action'],https://store.playstation.com/en-us/concept/10000248
PGA 2K23 Cross-Gen Edition,"['PS4', 'PS5']",3.79,2314,2K,2022-10-14,17.49,['Sport'],https://store.playstation.com/en-us/concept/10003285
FOR HONOR,['PS4'],4.06,73847,Ubisoft Entertainment,2024-03-14,29.99,"['Action', 'Fighting']",https://store.playstation.com/en-us/concept/221694
MLB® The Show™ 23 PS5™,"['PS4', 'PS5']",4.09,1283,Sony Interactive Entertainment,2023-03-28,29.99,['Sport'],https://store.playstation.com/en-us/concept/10005744
Call of Duty®: Black Ops Cold War - Cross-Gen Bundle PS4® & PS5®,"['PS4', 'PS5']",4.19,214319,Activision,2020-11-13,69.99,['Shooter'],https://store.playstation.com/en-us/concept/233407
Dead Space,['PS5'],4.81,8319,Electronic Arts Inc,2023-01-27,24.49,['Horror'],https://store.playstation.com/en-us/concept/10002958
Tower of Fantasy,['PS5'],3.8,9245,Perfect World Games,2023-08-08,0.0,"['Role Playing Games', 'Action']",https://store.playstation.com/en-us/concept/10005364
MY HERO ULTRA RUMBLE,['PS4'],4.32,26993,Bandai Namco Entertainment America Inc.,2023-09-28,0.0,"['Fighting', 'Action']",https://store.playstation.com/en-us/concept/10002357
LEGO® Star Wars™: The Skywalker Saga PS4 & PS5,"['PS4', 'PS5']",4.59,9176,Warner Bros. Interactive,2022-04-05,14.99,['Action'],https://store.playstation.com/en-us/concept/232847
Red Dead Redemption,['PS4'],4.77,6492,Rockstar Games,2023-08-17,34.99,['Action'],https://store.playstation.com/en-us/concept/10006164
Who's Your Daddy?!,"['PS4', 'PS5']",4.15,665,Evil Tortilla Games Incorporated,2024-05-02,9.99,"['Action', 'Simulation', 'Unique']",https://store.playstation.com/en-us/concept/10007749
Lies of P,"['PS4', 'PS5']",4.71,13074,NEOWIZ,2023-09-19,41.99,"['Role Playing Games', 'Action']",https://store.playstation.com/en-us/concept/10006052
The Outlast Trials,"['PS4', 'PS5']",4.77,2982,Red Barrels,2024-03-05,39.99,['Horror'],https://store.playstation.com/en-us/concept/10001988
Alan Wake 2,['PS5'],4.77,21310,Epic Games,2023-10-27,47.99,['Horror'],https://store.playstation.com/en-us/concept/10002065
Suicide Squad: Kill the Justice League,['PS5'],4.09,11231,Warner Bros. Interactive,2024-02-02,27.99,['Shooter'],https://store.playstation.com/en-us/concept/10001609
theHunter: Call of the Wild™,['PS4'],4.4,20394,Expansive Worlds AB,2017-10-02,7.49,"['Shooter', 'Sport']",https://store.playstation.com/en-us/concept/228868
Battlefield™ 2042 PS5,"['PS4', 'PS5']",3.26,38346,Electronic Arts Inc,2021-11-19,10.49,['Shooter'],https://store.playstation.com/en-us/concept/10000758
FINAL FANTASY XVI,['PS5'],4.52,25144,SQUARE ENIX CO. LTD.,2023-06-22,69.99,"['Action', 'Role Playing Games']",https://store.playstation.com/en-us/concept/10002100
Avatar: Frontiers of Pandora™,['PS5'],3.94,6457,Ubisoft Entertainment,2023-12-07,41.99,['Unique'],https://store.playstation.com/en-us/concept/235179
Assassin's Creed® Odyssey,['PS4'],4.53,69489,Ubisoft Entertainment,2018-10-05,59.99,"['Action', 'Adventure', 'Role Playing Games']",https://store.playstation.com/en-us/concept/229601
MX vs ATV Legends,"['PS4', 'PS5']",3.29,2537,THQ Nordic,2022-06-28,15.99,['Driving/Racing'],https://store.playstation.com/en-us/concept/10000928
Dead Island 2,"['PS4', 'PS5']",4.39,8162,Deep Silver,2023-04-21,34.99,"['Action', 'Action']",https://store.playstation.com/en-us/concept/201061
Jurassic World Evolution 2,"['PS4', 'PS5']",4.45,12208,Frontier Developments PLC,2021-11-09,59.99,"['Simulation', 'Strategy']",https://store.playstation.com/en-us/concept/10002577
Resident Evil 4,"['PS4', 'PS5']",4.79,59044,"Capcom U.S.A., Inc.",2023-03-24,39.99,"['Action', 'Adventure', 'Horror']",https://store.playstation.com/en-us/concept/10004473
Planet Zoo,['PS5'],4.51,1420,Frontier Developments PLC,2024-03-26,49.99,"['Casual', 'Family', 'Simulation']",https://store.playstation.com/en-us/concept/10009025
World of Tanks Modern Armor,"['PS4', 'PS5']",4.1,280848,Wargaming Group Ltd,2021-10-26,0.0,"['Action', 'Action', 'Shooter']",https://store.playstation.com/en-us/concept/212581
System Shock,"['PS4', 'PS5']",4.66,365,Prime Matter,2024-05-21,39.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/10004429
eFootball™ 2024,"['PS4', 'PS5']",3.76,293744,"Konami Digital Entertainment, Inc.",2021-09-30,0.0,['Sport'],https://store.playstation.com/en-us/concept/10002427
